deep_blue, aquamarine, steel_blue, 55
purple, dark_bronze, purple_red, 55
purple, gray, light_purple, 85
purple, dark_beige, light_purple, 50
purple, dark_olive, dark_purple, 55
purple, red_orange, brick_red, 60
purple, dark_salmon, light_purple, 75
purple, dull_green, light_purple, 70
purple, dark_slate, indigo, 110
purple, dark_teal, indigo, 100
purple, turquoise, royal_blue, 70
deep_pink, deep_blue, purple, 90
deep_pink, red_brown, crimson, 100
deep_pink, dull_blue, purple_red, 80
deep_pink, light_brown, brick_red, 85
deep_pink, coral, brick_red, 95
deep_pink, crimson, brick_red, 105
deep_pink, cyan, light_slate, 45
deep_pink, dark_bronze, brick_red, 70
deep_pink, gray, dull_pink, 95
deep_pink, dark_beige, dull_pink, 65
deep_pink, dark_olive, purple_red, 60
deep_pink, red_orange, salmon, 80
deep_pink, dark_salmon, dull_pink, 95
deep_pink, dull_green, dull_pink, 55
deep_pink, dark_slate, purple_red, 90
deep_pink, dark_teal, purple_red, 90
deep_pink, turquoise, light_slate, 55
deep_pink, purple, purple_red, 100
light_blue, aquamarine, turquoise, 90
light_blue, deep_blue, royal_blue, 75
light_blue, red_brown, steel_blue, 60
light_blue, dull_blue, sky_blue, 105
light_blue, light_brown, dull_blue, 70
light_blue, coral, dull_blue, 70
light_blue, crimson, slate_blue, 60
light_blue, cyan, sky_blue, 105
light_blue, dark_bronze, mint, 70
light_blue, gray, sky_blue, 105
light_blue, dark_green, teal, 65
light_blue, dark_beige, dark_turquoise, 75
light_blue, dark_olive, dull_blue, 70
light_blue, red_orange, dull_green, 70
light_blue, dark_salmon, dull_blue, 80
light_blue, dull_green, turquoise, 85
light_blue, dark_slate, steel_blue, 75
light_blue, dark_teal, steel_blue, 80
light_blue, turquoise, sky_blue, 110
light_blue, purple, royal_blue, 70
light_blue, deep_pink, light_slate, 55
dark_gray, aquamarine, light_mint, 80
dark_gray, deep_blue, dark_slate, 90
dark_gray, dull_blue, slate, 100
dark_gray, light_brown, brown, 95
dark_gray, coral, brick_red, 90
dark_gray, crimson, red_brown, 100
dark_gray, cyan, dark_turquoise, 80
dark_gray, dark_bronze, dark_yellow, 95
dark_gray, gray, dim_gray, 105
dark_gray, dark_green, dark_olive, 100
dark_gray, red_orange, tan, 90
dark_gray, dark_salmon, dull_red, 95
dark_gray, turquoise, dull_blue, 90
dark_gray, purple, dark_purple, 95
dark_gray, deep_pink, purple_red, 95
dark_gray, light_blue, steel_blue, 90
blue, aquamarine, sky_blue, 80
blue, black, dark_slate, 75
blue, deep_blue, slate_blue, 90
blue, red_brown, slate_blue, 75
blue, dull_blue, steel_blue, 100
blue, light_brown, slate, 75
blue, crimson, slate_blue, 75
blue, cyan, light_blue, 85
blue, dark_bronze, dull_blue, 70
blue, gray, steel_blue, 100
blue, dark_green, teal, 65
blue, dark_beige, dull_blue, 65
blue, dark_olive, steel_blue, 70
blue, red_orange, dim_gray, 70
blue, dark_salmon, slate, 80
blue, dull_green, light_blue, 80
blue, dark_slate, royal_blue, 90
blue, dark_teal, steel_blue, 90
blue, turquoise, light_blue, 95
blue, purple, slate_blue, 90
blue, deep_pink, slate_blue, 80
blue, dark_gray, steel_blue, 95
gold, aquamarine, yellow_green, 90
gold, red_brown, tan, 65
gold, dull_blue, dark_beige, 85
gold, light_brown, orange, 90
gold, coral, orange, 90
gold, crimson, light_brown, 65
gold, cyan, pale_green, 80
gold, dark_bronze, bronze, 105
gold, gray, dark_beige, 95
gold, dark_green, olive, 75
gold, dark_beige, beige, 110
gold, dark_olive, dark_beige, 85
gold, red_orange, orange, 100
gold, dark_salmon, bronze, 90
gold, dull_green, dark_beige, 95
gold, dark_teal, dark_yellow, 65
gold, turquoise, light_green, 80
gold, deep_pink, coral, 55
gold, light_blue, dull_green, 65
gold, dark_gray, dark_beige, 80
gold, blue, dull_green, 60
bronze, aquamarine, yellow_green, 85
bronze, deep_blue, dark_slate, 45
bronze, red_brown, light_brown, 80
bronze, dull_blue, dark_beige, 90
bronze, light_brown, tan, 105
bronze, coral, red_orange, 100
bronze, crimson, light_brown, 80
bronze, cyan, light_mint, 80
bronze, dark_bronze, orange, 115
bronze, gray, dark_beige, 100
bronze, dark_green, olive, 80
bronze, dark_beige, dark_bronze, 110
bronze, dark_olive, dark_yellow, 90
bronze, red_orange, orange, 110
bronze, dark_salmon, pale_brown, 100
bronze, dull_green, dark_beige, 95
bronze, dark_teal, dark_yellow, 75
bronze, turquoise, mint, 80
bronze, purple, purple_red, 50
bronze, deep_pink, brick_red, 65
bronze, light_blue, dull_green, 70
bronze, dark_gray, dark_bronze, 90
bronze, blue, dull_blue, 65
bronze, gold, orange, 115
dim_gray, aquamarine, light_mint, 90
dim_gray, deep_blue, dark_slate, 85
dim_gray, dull_blue, slate, 105
dim_gray, light_brown, tan, 100
dim_gray, coral, dark_salmon, 95
dim_gray, crimson, brick_red, 95
dim_gray, cyan, turquoise, 90
dim_gray, dark_bronze, dark_yellow, 100
dim_gray, gray, slate, 115
dim_gray, dark_green, dark_olive, 95
dim_gray, red_orange, tan, 95
dim_gray, dark_salmon, dull_red, 100
dim_gray, dark_teal, dark_gray, 100
dim_gray, turquoise, dull_blue, 95
dim_gray, purple, dark_purple, 90
dim_gray, deep_pink, purple_red, 95
dim_gray, light_blue, dull_blue, 100
dim_gray, dark_gray, slate, 120
dim_gray, blue, steel_blue, 100
dim_gray, gold, dark_beige, 85
dim_gray, bronze, dark_bronze, 95
green, aquamarine, mint, 85
green, black, dark_green, 85
green, deep_blue, dark_slate, 60
green, red_brown, dark_olive, 60
green, dull_blue, dark_mint, 95
green, light_brown, dark_yellow, 70
green, coral, dark_yellow, 65
green, cyan, mint, 80
green, dark_bronze, olive, 90
green, gray, dark_mint, 90
green, dark_green, dark_olive, 120
green, dark_beige, olive, 95
green, dark_olive, dark_green, 115
green, red_orange, dark_yellow, 70
green, dark_salmon, olive, 70
green, dull_green, mint, 100
green, dark_slate, dark_teal, 70
green, dark_teal, dark_green, 95
green, turquoise, mint, 85
green, light_blue, dark_mint, 70
green, dark_gray, dark_green, 100
green, blue, teal, 65
green, gold, yellow_green, 80
green, bronze, olive, 85
green, dim_gray, dark_mint, 100
pink, aquamarine, pale_purple, 50
pink, deep_blue, purple, 80
pink, red_brown, brick_red, 90
pink, dull_blue, light_mauve, 85
pink, light_brown, brick_red, 85
pink, coral, salmon, 95
pink, crimson, deep_pink, 100
pink, cyan, sky_blue, 55
pink, dark_bronze, salmon, 70
pink, gray, dull_pink, 100
pink, dark_beige, dull_red, 70
pink, dark_olive, brick_red, 60
pink, red_orange, coral, 80
pink, dark_salmon, dull_pink, 100
pink, dull_green, dull_red, 60
pink, dark_slate, light_purple, 85
pink, turquoise, blue, 60
pink, purple, light_purple, 95
pink, deep_pink, dull_pink, 115
pink, light_blue, blue, 65
pink, dark_gray, dull_pink, 95
pink, blue, light_slate, 85
pink, gold, pale_brown, 60
pink, bronze, dark_salmon, 70
pink, dim_gray, dull_pink, 100
brick_red, aquamarine, gray, 55
brick_red, black, maroon, 80
brick_red, deep_blue, purple, 80
brick_red, red_brown, crimson, 110
brick_red, dull_blue, dull_red, 80
brick_red, light_brown, red, 105
brick_red, coral, salmon, 110
brick_red, crimson, red_brown, 115
brick_red, cyan, dull_blue, 60
brick_red, dark_bronze, light_brown, 90
brick_red, gray, dull_red, 100
brick_red, dark_green, dark_olive, 60
brick_red, dark_beige, tan, 85
brick_red, dark_olive, brown, 80
brick_red, red_orange, light_brown, 95
brick_red, dark_salmon, salmon, 110
brick_red, dull_green, tan, 75
brick_red, dark_slate, purple_red, 90
brick_red, turquoise, dull_blue, 65
brick_red, purple, purple_red, 90
brick_red, deep_pink, dull_pink, 110
brick_red, light_blue, steel_blue, 70
brick_red, blue, light_slate, 80
brick_red, gold, orange, 75
brick_red, bronze, tan, 85
brick_red, dim_gray, dull_red, 100
brick_red, green, dark_olive, 60
brick_red, pink, dull_pink, 105
indigo, black, navy, 95
indigo, deep_blue, navy, 110
indigo, red_brown, dark_purple, 90
indigo, dull_blue, dark_slate, 80
indigo, coral, purple_red, 65
indigo, crimson, dark_purple, 85
indigo, dark_bronze, red_brown, 55
indigo, gray, slate_blue, 70
indigo, red_orange, red_brown, 55
indigo, dark_salmon, purple_red, 65
indigo, dark_slate, navy, 115
indigo, dark_teal, dark_slate, 100
indigo, turquoise, royal_blue, 55
indigo, purple, dark_purple, 110
indigo, deep_pink, dark_purple, 90
indigo, light_blue, royal_blue, 60
indigo, dark_gray, dark_slate, 90
indigo, blue, slate_blue, 80
indigo, bronze, red_brown, 45
indigo, dim_gray, dark_slate, 85
indigo, green, dark_teal, 65
indigo, pink, purple_red, 80
indigo, brick_red, dark_purple, 85
beige, aquamarine, pale_green, 100
beige, red_brown, tan, 65
beige, dull_blue, dull_green, 90
beige, light_brown, bronze, 85
beige, coral, pale_brown, 90
beige, crimson, salmon, 65
beige, cyan, aquamarine, 90
beige, dark_bronze, bronze, 100
beige, gray, dark_beige, 100
beige, dark_green, olive, 75
beige, dark_beige, pale_orange, 115
beige, dark_olive, dark_beige, 85
beige, red_orange, bronze, 95
beige, dark_salmon, pale_tan, 95
beige, dull_green, dark_beige, 105
beige, dark_slate, dim_gray, 50
beige, dark_teal, dull_green, 65
beige, turquoise, light_mint, 90
beige, deep_pink, dull_pink, 60
beige, light_blue, light_turquoise, 75
beige, dark_gray, dark_beige, 85
beige, blue, sky_blue, 60
beige, gold, yellow, 115
beige, bronze, gold, 110
beige, dim_gray, dark_beige, 90
beige, green, yellow_green, 85
beige, pink, dark_salmon, 65
beige, brick_red, pale_brown, 75
alice_blue, aquamarine, pale_turquoise, 95
alice_blue, deep_blue, light_slate, 65
alice_blue, red_brown, dull_red, 70
alice_blue, dull_blue, sky_blue, 95
alice_blue, light_brown, dark_salmon, 85
alice_blue, coral, dark_salmon, 90
alice_blue, crimson, dull_pink, 80
alice_blue, cyan, pale_turquoise, 95
alice_blue, dark_bronze, pale_tan, 85
alice_blue, gray, light_gray, 110
alice_blue, dark_green, dull_green, 65
alice_blue, dark_beige, pale_orange, 90
alice_blue, dark_olive, gray, 75
alice_blue, red_orange, pale_brown, 85
alice_blue, dark_salmon, pale_pink, 95
alice_blue, dull_green, pale_turquoise, 95
alice_blue, dark_slate, light_slate, 70
alice_blue, dark_teal, gray, 70
alice_blue, turquoise, pale_turquoise, 95
alice_blue, purple, light_purple, 75
alice_blue, deep_pink, pink, 85
alice_blue, light_blue, sky_blue, 95
alice_blue, dark_gray, gray, 85
alice_blue, blue, pale_blue, 95
alice_blue, gold, beige, 85
alice_blue, bronze, pale_tan, 85
alice_blue, dim_gray, gray, 95
alice_blue, green, dull_green, 75
alice_blue, pink, light_mauve, 95
alice_blue, brick_red, dull_red, 85
alice_blue, indigo, light_slate, 55
alice_blue, beige, pale_yellow, 90
pale_yellow, aquamarine, pale_green, 105
pale_yellow, deep_blue, light_slate, 45
pale_yellow, red_brown, dark_salmon, 65
pale_yellow, dull_blue, dull_green, 90
pale_yellow, light_brown, pale_brown, 85
pale_yellow, coral, pale_brown, 90
pale_yellow, crimson, salmon, 70
pale_yellow, cyan, aquamarine, 95
pale_yellow, dark_bronze, dark_beige, 95
pale_yellow, gray, light_gray, 100
pale_yellow, dark_green, dull_green, 75
pale_yellow, dark_beige, beige, 110
pale_yellow, dark_olive, dark_beige, 80
pale_yellow, red_orange, orange, 95
pale_yellow, dark_salmon, pale_tan, 95
pale_yellow, dull_green, beige, 105
pale_yellow, dark_slate, gray, 55
pale_yellow, dark_teal, dull_green, 65
pale_yellow, turquoise, light_turquoise, 95
pale_yellow, purple, mauve, 50
pale_yellow, deep_pink, pink, 65
pale_yellow, light_blue, pale_turquoise, 80
pale_yellow, dark_gray, gray, 80
pale_yellow, blue, sky_blue, 70
pale_yellow, gold, beige, 105
pale_yellow, bronze, beige, 100
pale_yellow, dim_gray, gray, 90
pale_yellow, green, dull_green, 80
pale_yellow, pink, pale_pink, 75
pale_yellow, brick_red, dark_salmon, 80
pale_yellow, beige, pale_orange, 115
light_gray, aquamarine, pale_turquoise, 100
light_gray, black, dark_gray, 45
light_gray, deep_blue, royal_blue, 65
light_gray, red_brown, dull_red, 75
light_gray, dull_blue, sky_blue, 100
light_gray, light_brown, pale_brown, 90
light_gray, coral, dark_salmon, 95
light_gray, crimson, dull_pink, 85
light_gray, cyan, light_turquoise, 100
light_gray, dark_bronze, pale_tan, 95
light_gray, gray, pale_blue, 115
light_gray, dark_green, dark_mint, 75
light_gray, dark_beige, pale_orange, 105
light_gray, dark_olive, dull_green, 85
light_gray, red_orange, pale_brown, 95
light_gray, dark_salmon, dull_red, 100
light_gray, dark_teal, dim_gray, 75
light_gray, turquoise, light_turquoise, 100
light_gray, purple, light_purple, 75
light_gray, deep_pink, pink, 90
light_gray, light_blue, sky_blue, 100
light_gray, dark_gray, gray, 95
light_gray, blue, light_blue, 95
light_gray, gold, beige, 95
light_gray, bronze, dark_beige, 100
light_gray, dim_gray, gray, 100
light_gray, green, mint, 85
light_gray, pink, light_mauve, 95
light_gray, brick_red, dull_red, 90
light_gray, indigo, light_slate, 55
light_gray, beige, pale_yellow, 105
light_gray, pale_yellow, pale_orange, 110
dark_turquoise, aquamarine, light_turquoise, 105
dark_turquoise, black, dark_teal, 65
dark_turquoise, deep_blue, royal_blue, 70
dark_turquoise, red_brown, dark_gray, 60
dark_turquoise, dull_blue, turquoise, 120
dark_turquoise, light_brown, olive, 75
dark_turquoise, cyan, turquoise, 110
dark_turquoise, dark_bronze, olive, 85
dark_turquoise, gray, dull_blue, 105
dark_turquoise, dark_green, dark_mint, 90
dark_turquoise, dark_beige, dull_green, 95
dark_turquoise, dark_olive, dark_mint, 95
dark_turquoise, red_orange, olive, 75
dark_turquoise, dark_salmon, dull_blue, 80
dark_turquoise, dull_green, light_mint, 110
dark_turquoise, dark_slate, steel_blue, 75
dark_turquoise, dark_teal, teal, 90
dark_turquoise, turquoise, light_turquoise, 120
dark_turquoise, purple, slate_blue, 75
dark_turquoise, deep_pink, light_purple, 65
dark_turquoise, light_blue, sky_blue, 105
dark_turquoise, dark_gray, teal, 95
dark_turquoise, blue, light_blue, 95
dark_turquoise, gold, yellow_green, 85
dark_turquoise, bronze, dull_green, 85
dark_turquoise, dim_gray, dull_blue, 100
dark_turquoise, green, dark_mint, 95
dark_turquoise, brick_red, dim_gray, 70
dark_turquoise, indigo, royal_blue, 65
dark_turquoise, beige, dull_green, 90
dark_turquoise, alice_blue, turquoise, 95
dark_turquoise, pale_yellow, light_mint, 95
dark_turquoise, light_gray, turquoise, 100
pale_blue, aquamarine, pale_turquoise, 95
pale_blue, black, dark_gray, 55
pale_blue, deep_blue, royal_blue, 80
pale_blue, red_brown, dull_red, 75
pale_blue, dull_blue, sky_blue, 105
pale_blue, light_brown, dark_salmon, 85
pale_blue, coral, dull_red, 90
pale_blue, crimson, dull_pink, 80
pale_blue, cyan, turquoise, 100
pale_blue, dark_bronze, dark_beige, 85
pale_blue, gray, light_gray, 115
pale_blue, dark_green, dark_mint, 70
pale_blue, dark_beige, dull_green, 90
pale_blue, dark_olive, dull_blue, 80
pale_blue, red_orange, pale_tan, 85
pale_blue, dark_salmon, dull_red, 95
pale_blue, dull_green, light_mint, 95
pale_blue, dark_slate, light_slate, 80
pale_blue, dark_teal, slate, 80
pale_blue, turquoise, sky_blue, 105
pale_blue, purple, light_slate, 85
pale_blue, deep_pink, pink, 85
pale_blue, light_blue, sky_blue, 110
pale_blue, dark_gray, slate, 95
pale_blue, blue, light_blue, 105
pale_blue, gold, beige, 80
pale_blue, bronze, dark_beige, 85
pale_blue, dim_gray, gray, 105
pale_blue, green, mint, 75
pale_blue, pink, light_mauve, 90
pale_blue, brick_red, dull_red, 85
pale_blue, indigo, slate_blue, 65
pale_blue, beige, pale_yellow, 85
pale_blue, alice_blue, light_gray, 115
pale_blue, pale_yellow, light_gray, 95
pale_blue, light_gray, alice_blue, 115
pale_blue, dark_turquoise, turquoise, 100
lime, aquamarine, spring_green, 105
lime, dull_blue, light_green, 85
lime, light_brown, yellow_green, 60
lime, coral, yellow_green, 55
lime, cyan, spring_green, 90
lime, dark_bronze, light_green, 80
lime, gray, light_green, 90
lime, dark_green, light_green, 80
lime, dark_beige, light_green, 100
lime, dark_olive, light_green, 85
lime, red_orange, yellow_green, 65
lime, dark_salmon, light_green, 65
lime, dull_green, light_green, 105
lime, dark_slate, mint, 50
lime, dark_teal, mint, 65
lime, turquoise, spring_green, 90
lime, light_blue, spring_green, 65
lime, dark_gray, light_green, 80
lime, blue, mint, 55
lime, gold, yellow_green, 95
lime, bronze, light_green, 85
lime, dim_gray, light_green, 85
lime, green, light_green, 90
lime, brick_red, light_green, 45
lime, beige, pale_green, 100
lime, alice_blue, pale_green, 85
lime, pale_yellow, pale_green, 100
lime, light_gray, spring_green, 95
lime, dark_turquoise, light_green, 90
lime, pale_blue, spring_green, 80
light_green, aquamarine, spring_green, 105
light_green, black, dark_green, 55
light_green, deep_blue, steel_blue, 50
light_green, red_brown, dark_olive, 45
light_green, dull_blue, mint, 95
light_green, light_brown, olive, 65
light_green, coral, dark_beige, 60
light_green, cyan, spring_green, 90
light_green, dark_bronze, olive, 90
light_green, gray, mint, 95
light_green, dark_green, green, 90
light_green, dark_beige, yellow_green, 105
light_green, dark_olive, olive, 95
light_green, red_orange, yellow_green, 70
light_green, dark_salmon, yellow_green, 70
light_green, dull_green, mint, 110
light_green, dark_slate, dark_mint, 55
light_green, dark_teal, dark_mint, 75
light_green, turquoise, mint, 95
light_green, purple, dark_gray, 55
light_green, light_blue, light_mint, 70
light_green, dark_gray, dark_mint, 85
light_green, blue, dark_turquoise, 65
light_green, gold, yellow_green, 95
light_green, bronze, yellow_green, 90
light_green, dim_gray, mint, 90
light_green, green, mint, 105
light_green, brick_red, olive, 55
light_green, indigo, dark_teal, 50
light_green, beige, yellow_green, 100
light_green, alice_blue, dull_green, 85
light_green, pale_yellow, pale_green, 100
light_green, light_gray, dull_green, 95
light_green, dark_turquoise, mint, 100
light_green, pale_blue, dull_green, 85
light_green, lime, spring_green, 115
magenta, aquamarine, mauve, 70
magenta, black, dark_purple, 70
magenta, deep_blue, purple, 95
magenta, red_brown, purple_red, 85
magenta, dull_blue, light_purple, 95
magenta, light_brown, deep_pink, 75
magenta, coral, deep_pink, 80
magenta, crimson, deep_pink, 90
magenta, cyan, light_slate, 65
magenta, dark_bronze, deep_pink, 60
magenta, gray, light_purple, 95
magenta, dark_beige, pink, 55
magenta, dark_olive, purple_red, 50
magenta, red_orange, deep_pink, 65
magenta, dark_salmon, pink, 85
magenta, dull_green, light_purple, 50
magenta, dark_slate, purple, 90
magenta, dark_teal, purple, 90
magenta, turquoise, light_slate, 75
magenta, purple, light_purple, 105
magenta, deep_pink, pink, 110
magenta, light_blue, light_slate, 70
magenta, dark_gray, light_purple, 90
magenta, blue, slate_blue, 85
magenta, bronze, deep_pink, 55
magenta, dim_gray, light_purple, 95
magenta, pink, mauve, 110
magenta, brick_red, deep_pink, 95
magenta, indigo, purple, 90
magenta, beige, pink, 50
magenta, alice_blue, mauve, 90
magenta, pale_yellow, mauve, 60
magenta, light_gray, mauve, 90
magenta, dark_turquoise, light_slate, 80
magenta, pale_blue, light_purple, 95
maroon, deep_blue, indigo, 80
maroon, light_brown, brown, 95
maroon, coral, brown, 85
maroon, crimson, red_brown, 105
maroon, dark_bronze, brown, 85
maroon, gray, red_brown, 75
maroon, dark_beige, brown, 65
maroon, red_orange, brown, 80
maroon, dark_salmon, red_brown, 80
maroon, dull_green, brown, 55
maroon, turquoise, dark_teal, 50
maroon, purple, dark_purple, 85
maroon, deep_pink, crimson, 90
maroon, light_blue, royal_blue, 50
maroon, dark_gray, red_brown, 95
maroon, blue, dark_slate, 70
maroon, gold, light_brown, 55
maroon, bronze, brown, 70
maroon, dim_gray, red_brown, 90
maroon, green, dark_yellow, 60
maroon, pink, crimson, 80
maroon, brick_red, red_brown, 100
maroon, indigo, dark_purple, 90
maroon, beige, light_brown, 55
maroon, alice_blue, dull_red, 60
maroon, pale_yellow, dark_salmon, 55
maroon, light_gray, brick_red, 65
maroon, dark_turquoise, dark_gray, 60
maroon, magenta, purple_red, 75
light_mint, aquamarine, light_turquoise, 115
light_mint, black, dark_teal, 55
light_mint, deep_blue, royal_blue, 60
light_mint, red_brown, dim_gray, 55
light_mint, dull_blue, dark_turquoise, 110
light_mint, light_brown, dark_beige, 75
light_mint, coral, pale_tan, 70
light_mint, crimson, dull_red, 55
light_mint, cyan, light_turquoise, 110
light_mint, dark_bronze, dull_green, 85
light_mint, gray, dull_green, 100
light_mint, dark_green, dark_mint, 85
light_mint, dark_beige, dull_green, 105
light_mint, dark_olive, dark_mint, 90
light_mint, red_orange, dark_beige, 75
light_mint, dark_salmon, dull_green, 80
light_mint, dull_green, mint, 115
light_mint, dark_slate, slate, 65
light_mint, dark_teal, teal, 80
light_mint, turquoise, light_turquoise, 115
light_mint, purple, slate_blue, 70
light_mint, deep_pink, dull_pink, 45
light_mint, light_blue, turquoise, 95
light_mint, dark_gray, dull_blue, 90
light_mint, blue, light_blue, 85
light_mint, gold, yellow_green, 90
light_mint, bronze, dark_beige, 90
light_mint, dim_gray, dull_blue, 95
light_mint, green, mint, 95
light_mint, pink, pale_purple, 55
light_mint, brick_red, gray, 65
light_mint, indigo, slate_blue, 55
light_mint, beige, dull_green, 100
